source	translation	status	notes
disease	질병	translated	면역 발동 상태 메시지의 동적 상태명
curse	저주	translated	면역 발동 상태 메시지의 동적 상태명
insanity	광기	translated	면역 발동 상태 메시지의 동적 상태명
spell drain	주문력 흡수	translated	면역 발동 상태 메시지의 동적 상태명
paralysis	마비	translated	면역 발동 상태 메시지의 동적 상태명
poison	독	translated	면역 발동 상태 메시지의 동적 상태명
weakness	약화	translated	면역 발동 상태 메시지의 동적 상태명
sleep	수면	translated	면역 발동 상태 메시지의 동적 상태명
unconscious	의식불명	translated	면역 발동 상태 메시지의 동적 상태명
stone	석화	translated	면역 발동 상태 메시지의 동적 상태명
premature ageing	조기 노화	translated	면역 발동 상태 메시지의 동적 상태명
death	죽음	translated	면역 발동 상태 메시지의 동적 상태명
eradication	소멸	translated	면역 발동 상태 메시지의 동적 상태명
